Date,Description,Amount,Type
2024-01-15,WALMART SUPERCENTER,45.67,DEBIT
2024-01-16,STARBUCKS COFFEE,4.50,DEBIT
2024-01-17,AMAZON.COM,23.99,DEBIT
2024-01-18,SHELL GAS STATION,35.20,DEBIT
2024-01-19,NETFLIX SUBSCRIPTION,15.99,DEBIT
2024-01-20,UBER RIDE,12.75,DEBIT
2024-01-21,WHOLE FOODS MARKET,67.45,DEBIT
2024-01-22,APPLE STORE,129.99,DEBIT
2024-01-23,CHIPOTLE MEXICAN GRILL,11.50,DEBIT
2024-01-24,CVS PHARMACY,28.30,DEBIT
2024-01-25,SPOTIFY PREMIUM,9.99,DEBIT
2024-01-26,TARGET STORE,89.15,DEBIT
2024-01-27,DOORDASH FOOD DELIVERY,18.45,DEBIT
2024-01-28,COSTCO WHOLESALE,156.78,DEBIT
2024-01-29,STARBUCKS COFFEE,4.50,DEBIT
2024-01-30,AMAZON.COM,45.67,DEBIT 
