Date,Description,Amount,Type
01/15/2024,GROCERY STORE PURCHASE,45.67,DEBIT
01/16/2024,COFFEE SHOP,4.50,DEBIT
01/17/2024,ONLINE SHOPPING,23.99,DEBIT
01/18/2024,FUEL PURCHASE,35.20,DEBIT
01/19/2024,STREAMING SERVICE,15.99,DEBIT
01/20/2024,TRANSPORTATION,12.75,DEBIT
01/21/2024,ORGANIC GROCERIES,67.45,DEBIT
01/22/2024,ELECTRONICS STORE,129.99,DEBIT
01/23/2024,RESTAURANT,11.50,DEBIT
01/24/2024,PHARMACY,28.30,DEBIT
01/25/2024,MUSIC SUBSCRIPTION,9.99,DEBIT
01/26/2024,RETAIL STORE,89.15,DEBIT
01/27/2024,FOOD DELIVERY,18.45,DEBIT
01/28/2024,WHOLESALE CLUB,156.78,DEBIT
01/29/2024,COFFEE SHOP,4.50,DEBIT
01/30/2024,ONLINE SHOPPING,45.67,DEBIT 
